TEAM_ID,TEAM_ABBREVIATION,SEASON,SEASON_TYPE,GAMES_PLAYED,WINS,LOSSES,POINTS_SCORED,POINTS_CONCEDED
1610612744,GSW,2021-22,Playoffs,22,16,6,2461,2350
1610612744,GSW,2021-22,Regular Season,82,53,29,9102,8648
1610612745,HOU,2015-16,Playoffs,5,1,4,456,550
1610612745,HOU,2015-16,Regular Season,82,41,41,8737,8721
1610612745,HOU,2016-17,Playoffs,11,6,5,1185,1172
1610612745,HOU,2016-17,Regular Season,82,55,27,9458,8985
1610612745,HOU,2017-18,Playoffs,17,11,6,1784,1753
1610612745,HOU,2017-18,Regular Season,82,65,17,9213,8518
1610612745,HOU,2018-19,Playoffs,11,6,5,1194,1159
1610612745,HOU,2018-19,Regular Season,82,53,29,9341,8950
1610612745,HOU,2019-20,Playoffs,12,5,7,1292,1283
1610612745,HOU,2019-20,Regular Season,72,44,28,8482,8269
1610612745,HOU,2020-21,Regular Season,72,17,55,7833,8402
1610612745,HOU,2021-22,Regular Season,82,20,62,8997,9692
1610612746,LAC,2015-16,Playoffs,6,2,4,590,584
1610612746,LAC,2015-16,Regular Season,82,53,29,8569,8218
1610612746,LAC,2016-17,Playoffs,7,3,4,684,692
1610612746,LAC,2016-17,Regular Season,82,51,31,8911,8559
1610612746,LAC,2017-18,Regular Season,82,42,40,8937,8934
1610612746,LAC,2018-19,Playoffs,6,2,4,688,747
1610612746,LAC,2018-19,Regular Season,82,48,34,9442,9372
1610612746,LAC,2019-20,Playoffs,13,7,6,1482,1427
1610612746,LAC,2019-20,Regular Season,72,49,23,8377,7913
1610612746,LAC,2020-21,Playoffs,19,10,9,2120,2043
1610612746,LAC,2020-21,Regular Season,72,47,25,8209,7764
1610612746,LAC,2021-22,Regular Season,82,42,40,8890,8888
1610612747,LAL,2015-16,Regular Season,82,17,65,7982,8766
1610612747,LAL,2016-17,Regular Season,82,26,56,8575,9139
1610612747,LAL,2017-18,Regular Season,82,35,47,8862,8989
1610612747,LAL,2018-19,Regular Season,82,37,45,9165,9306
1610612747,LAL,2019-20,Playoffs,21,16,5,2369,2225
1610612747,LAL,2019-20,Regular Season,71,52,19,8054,7643
1610612747,LAL,2020-21,Playoffs,6,2,4,585,624
1610612747,LAL,2020-21,Regular Season,72,42,30,7887,7686
1610612747,LAL,2021-22,Regular Season,82,33,49,9192,9442
1610612748,MIA,2015-16,Playoffs,14,7,7,1356,1312
1610612748,MIA,2015-16,Regular Season,82,48,34,8204,8069
1610612748,MIA,2016-17,Regular Season,82,41,41,8460,8373
1610612748,MIA,2017-18,Playoffs,5,1,4,517,571
1610612748,MIA,2017-18,Regular Season,82,44,38,8480,8441
1610612748,MIA,2018-19,Regular Season,82,39,43,8668,8687
1610612748,MIA,2019-20,Playoffs,21,14,7,2310,2268
1610612748,MIA,2019-20,Regular Season,73,44,29,8179,7964
1610612748,MIA,2020-21,Playoffs,4,0,4,392,474
1610612748,MIA,2020-21,Regular Season,72,40,32,7781,7779
1610612748,MIA,2021-22,Playoffs,18,11,7,1876,1807
1610612748,MIA,2021-22,Regular Season,82,53,29,9022,8657
1610612749,MIL,2015-16,Regular Season,82,33,49,8122,8465
1610612749,MIL,2016-17,Playoffs,6,2,4,559,563
1610612749,MIL,2016-17,Regular Season,82,42,40,8497,8512
1610612749,MIL,2017-18,Playoffs,7,3,4,713,717
1610612749,MIL,2017-18,Regular Season,82,44,38,8731,8756
1610612749,MIL,2018-19,Playoffs,15,10,5,1692,1560
1610612749,MIL,2018-19,Regular Season,82,60,22,9686,8959
1610612749,MIL,2019-20,Playoffs,10,5,5,1111,1099
1610612749,MIL,2019-20,Regular Season,73,56,17,8663,7927
1610612749,MIL,2020-21,Playoffs,23,16,7,2537,2419
1610612749,MIL,2020-21,Regular Season,72,46,26,8649,8225
1610612749,MIL,2021-22,Playoffs,12,7,5,1233,1215
1610612749,MIL,2021-22,Regular Season,82,51,31,9470,9195
1610612750,MIN,2015-16,Regular Season,82,29,53,8398,8688
1610612750,MIN,2016-17,Regular Season,82,31,51,8657,8748
1610612750,MIN,2017-18,Playoffs,5,1,4,508,552
1610612750,MIN,2017-18,Regular Season,82,47,35,8980,8797
1610612750,MIN,2018-19,Regular Season,82,36,46,9223,9346
1610612750,MIN,2019-20,Regular Season,64,19,45,7248,7523
1610612750,MIN,2020-21,Regular Season,72,23,49,8073,8473
1610612750,MIN,2021-22,Playoffs,6,2,4,655,688
1610612750,MIN,2021-22,Regular Season,82,46,36,9507,9291
1610612751,BKN,2015-16,Regular Season,82,21,61,8089,8692
1610612751,BKN,2016-17,Regular Season,82,20,62,8673,9225
1610612751,BKN,2017-18,Regular Season,82,28,54,8741,9048
1610612751,BKN,2018-19,Playoffs,5,1,4,557,612
1610612751,BKN,2018-19,Regular Season,82,42,40,9204,9210
1610612751,BKN,2019-20,Playoffs,4,0,4,423,505
1610612751,BKN,2019-20,Regular Season,72,35,37,8048,8089
1610612751,BKN,2020-21,Playoffs,12,7,5,1350,1274
1610612751,BKN,2020-21,Regular Season,72,48,24,8537,8213
1610612751,BKN,2021-22,Playoffs,4,0,4,436,454
1610612751,BKN,2021-22,Regular Season,82,44,38,9258,9194
1610612752,NYK,2015-16,Regular Season,82,32,50,8065,8289
1610612752,NYK,2016-17,Regular Season,82,31,51,8556,8857
1610612752,NYK,2017-18,Regular Season,82,29,53,8566,8858
1610612752,NYK,2018-19,Regular Season,82,17,65,8575,9330
1610612752,NYK,2019-20,Regular Season,66,21,45,6983,7409
1610612752,NYK,2020-21,Playoffs,5,1,4,485,520
1610612752,NYK,2020-21,Regular Season,72,41,31,7706,7540
1610612752,NYK,2021-22,Regular Season,82,37,45,8731,8741
1610612753,ORL,2015-16,Regular Season,82,35,47,8369,8502
1610612753,ORL,2016-17,Regular Season,82,29,53,8288,8827
1610612753,ORL,2017-18,Regular Season,82,25,57,8479,8874
1610612753,ORL,2018-19,Playoffs,5,1,4,460,532
1610612753,ORL,2018-19,Regular Season,82,42,40,8800,8742
1610612753,ORL,2019-20,Playoffs,5,1,4,535,581
1610612753,ORL,2019-20,Regular Season,73,33,40,7831,7905
1610612753,ORL,2020-21,Regular Season,72,21,51,7488,8158
1610612753,ORL,2021-22,Regular Season,82,22,60,8547,9203
1610612754,IND,2015-16,Playoffs,7,3,4,656,646
1610612754,IND,2015-16,Regular Season,82,45,37,8377,8237
1610612754,IND,2016-17,Playoffs,4,0,4,435,451
1610612754,IND,2016-17,Regular Season,82,42,40,8618,8636
1610612754,IND,2017-18,Playoffs,7,3,4,704,664
1610612754,IND,2017-18,Regular Season,82,48,34,8656,8543
1610612754,IND,2018-19,Playoffs,4,0,4,367,397
1610612754,IND,2018-19,Regular Season,82,48,34,8857,8584
