Player ID,Full Name,Status
1641735,Amari Bailey,Activo
76084,Carl Bailey,Inactivo
76083,Gus Bailey,Inactivo
76085,James Bailey,Inactivo
1847,Thurl Bailey,Inactivo
1753,Toby Bailey,Inactivo
203946,Cameron Bairstow,Inactivo
1858,Mark Baker,Inactivo
2486,Maurice Baker,Inactivo
76089,Norm Baker,Inactivo
1627758,Ron Baker,Inactivo
452,Vin Baker,Inactivo
1627735,Wade Baldwin IV,Inactivo
1631116,Patrick Baldwin Jr.,Activo
200764,Renaldo Balkman,Inactivo
76090,Cedric Ball,Inactivo
1630163,LaMelo Ball,Activo
1628366,Lonzo Ball,Activo
76091,Greg Ballard,Inactivo
76092,Herschel Baltimore,Inactivo
1628964,Mo Bamba,Activo
1631094,Paolo Banchero,Activo
1630217,Desmond Bane,Activo
76093,Gene Banks,Inactivo
2556,Marcus Banks,Inactivo
76094,Ken Bannister,Inactivo
76095,Mike Bantom,Inactivo
1630625,Dalano Banton,Activo
1627760,Cat Barber,Inactivo
76096,John Barber,Inactivo
2571,Leandro Barbosa,Inactivo
76097,Stephen Bardo,Inactivo
200826,J.J. Barea,Inactivo
200745,Andrea Bargnani,Inactivo
76098,Cliff Barker,Inactivo
76099,Tom Barker,Inactivo
787,Charles Barkley,Inactivo
2057,Erick Barkley,Inactivo
76102,Don Barksdale,Inactivo
1631230,Dominick Barlow,Activo
203084,Harrison Barnes,Activo
76103,Harry Barnes,Inactivo
76105,Jim Barnes,Inactivo
76104,Marvin Barnes,Inactivo
2440,Matt Barnes,Inactivo
1630567,Scottie Barnes,Activo
76107,Dick Barnett,Inactivo
76106,Jim Barnett,Inactivo
76108,John Barnhill,Inactivo
76109,Norton Barnhill,Inactivo
76110,Leo Barnhorst,Inactivo
76111,John Barr,Inactivo
76112,Mike Barr,Inactivo
76113,Thomas Barr,Inactivo
2857,Andre Barrett,Inactivo
76114,Ernie Barrett,Inactivo
1629628,RJ Barrett,Activo
2853,Earl Barron,Inactivo
344,Dana Barros,Inactivo
699,Brent Barry,Inactivo
1003,Drew Barry,Inactivo
468,Jon Barry,Inactivo
600013,Rick Barry,Inactivo
76117,Ed Bartels,Inactivo
76118,Vic Bartolome,Inactivo
203115,Will Barton,Inactivo
101188,Eddie Basden,Inactivo
76119,Jerry Baskerville,Inactivo
101138,Brandon Bass,Inactivo
1628238,Paris Bass,Inactivo
76120,Tim Bassett,Inactivo
1629646,Charles Bassey,Activo
1766,Maceo Baston,Inactivo
2370,Mengke Bateer,Inactivo
76121,Billyray Bates,Inactivo
1641734,Emoni Bates,Activo
1628966,Keita Bates-Diop,Activo
101212,Esteban Batista,Inactivo
2471,Mike Batiste,Inactivo
1499,Tony Battie,Inactivo
2203,Shane Battier,Inactivo
174,John Battle,Inactivo
76123,Kenny Battle,Inactivo
76124,Dave Batton,Inactivo
201587,Nicolas Batum,Activo
76125,Johnny Baum,Inactivo
76126,Frankie Baumholtz,Inactivo
2437,Lonny Baxter,Inactivo
201573,Jerryd Bayless,Inactivo
76127,Elgin Baylor,Inactivo
203382,Aron Baynes,Inactivo
76128,Sergei Bazarevich,Inactivo
203145,Kent Bazemore,Inactivo
1629647,Darius Bazley,Activo
76129,Ed Beach,Inactivo
203078,Bradley Beal,Activo
76130,Butch Beard,Inactivo
76131,Ralph Beard,Inactivo
2602,Jerome Beasley,Inactivo
1627736,Malik Beasley,Activo
201563,Michael Beasley,Inactivo
76133,Zelmo Beaty,Inactivo
201958,Rodrigue Beaubois,Inactivo
1630699,MarJon Beauchamp,Activo
76134,Byron Beck,Inactivo
1133,Corey Beck,Inactivo
76136,Ernie Beck,Inactivo
76137,Moe Becker,Inactivo
76138,William Bedford,Inactivo
76139,Hank Beenders,Inactivo
76140,Ron Behagen,Inactivo
76141,Elmer Behnke,Inactivo
201158,Marco Belinelli,Inactivo
2294,Charlie Bell,Inactivo
76142,Dennis Bell,Inactivo
1628395,Jordan Bell,Inactivo
1952,Raja Bell,Inactivo
2559,Troy Bell,Inactivo
76143,William Bell,Inactivo
76144,Walt Bellamy,Inactivo
1627761,DeAndre' Bembry,Inactivo
76145,Irv Bemoras,Inactivo
76146,Leon Benbow,Inactivo
1627733,Dragan Bender,Inactivo
1886,Jonathan Bender,Inactivo
203968,Jerrelle Benimon,Inactivo
104,Benoit Benjamin,Inactivo
1736,Corey Benjamin,Inactivo
203461,Anthony Bennett,Inactivo
1120,Elmer Bennett,Inactivo
712,Mario Bennett,Inactivo
76151,Mel Bennett,Inactivo
76148,Tony Bennett,Inactivo
76152,Winston Bennett,Inactivo
128,David Benoit,Inactivo
202728,Keith Benson,Inactivo
76154,Kent Benson,Inactivo
1627791,Ben Bentil,Inactivo
76155,Gene Berce,Inactivo
76156,Gary Bergen,Inactivo
1631262,Jules Bernard,Activo
76157,Ricky Berry,Inactivo
76158,Walter Berry,Inactivo
1629541,Dairis Bertans,Inactivo
202722,Davis Bertans,Activo
76159,Del Beshore,Inactivo
696,Travis Best,Inactivo
201976,Patrick Beverley,Activo
1630180,Saddiq Bey,Activo
1630189,Tyler Bey,Inactivo
204021,Sim Bhullar,Inactivo
76160,Al Bianchi,Inactivo
76161,Hank Biasatti,Inactivo
76162,Henry Bibby,Inactivo
1710,Mike Bibby,Inactivo
76163,Ed Biedenbach,Inactivo
2740,Andris Biedrins,Inactivo
76164,Don Bielke,Inactivo
76165,Bob Bigelow,Inactivo
1497,Chauncey Billups,Inactivo
76166,Dave Bing,Inactivo
76167,Joe Binion,Inactivo
203920,Khem Birch,Inactivo
1628444,Jabari Bird,Inactivo
76168,Jerry Bird,Inactivo
1449,Larry Bird,Inactivo
76170,Otis Birdsong,Inactivo
76171,Gale Bishop,Inactivo
1629048,Goga Bitadze,Activo
1641931,Onuralp Bitim,Activo
202687,Bismack Biyombo,Activo
202357,Nemanja Bjelica,Inactivo
76172,Uwe Blab,Inactivo
1641710,Anthony Black,Activo
76173,Charlie Black,Inactivo
1641778,Leaky Black,Activo
76174,Norman Black,Inactivo
204028,Tarik Black,Inactivo
76175,Tom Black,Inactivo
76176,Rolando Blackman,Inactivo
76180,Alex Blackwell,Inactivo
76177,Cory Blackwell,Inactivo
1806,James Blackwell,Inactivo
76179,Nate Blackwell,Inactivo
201971,DeJuan Blair,Inactivo
2581,Steve Blake,Inactivo
202392,Marqus Blakely,Inactivo
1628469,Antonio Blakeney,Inactivo
200807,Will Blalock,Inactivo
76182,George Blaney,Inactivo
76183,Lance Blanks,Inactivo
76184,Ricky Blanton,Inactivo
101154,Andray Blatche,Inactivo
302,Mookie Blaylock,Inactivo
202339,Eric Bledsoe,Inactivo
1629833,Keljin Blevins,Inactivo
76186,Leon Blevins,Inactivo
76187,John Block,Inactivo
76188,Mike Bloom,Inactivo
1628417,Jaron Blossomgame,Inactivo
916,Corie Blount,Inactivo
1548,Mark Blount,Inactivo
203505,Vander Blue,Inactivo
1629129,Trevon Bluiett,Inactivo
76189,Ray Blume,Inactivo
76190,Nelson Bobb,Inactivo
2800,Tony Bobbitt,Inactivo
76191,Arlen Bockhorn,Inactivo
1631205,Buddy Boeheim,Activo
76192,Tom Boerwinkle,Inactivo
2586,Keith Bogans,Inactivo
203992,Bogdan Bogdanovic,Activo
202711,Bojan Bogdanovic,Activo
177,Muggsy Bogues,Inactivo
101106,Andrew Bogut,Inactivo
1564,Etdrick Bohannon,Inactivo
1629626,Bol Bol,Activo
76195,Manute Bol,Inactivo
1628413,Jonah Bolden,Inactivo
1629716,Marques Bolden,Activo
76196,Bill Bolger,Inactivo
1630195,Leandro Bolmaro,Inactivo
1627762,Joel Bolomboy,Inactivo
76197,Doug Bolstorff,Inactivo
76203,George H. Bon Salle,Inactivo
76198,Phil Bond,Inactivo
1603,Walter Bond,Inactivo
1629648,Jordan Bone,Inactivo
1121,Dexter Boney,Inactivo
1629067,Isaac Bonga,Inactivo
76201,Ron Bonham,Inactivo
41,Anthony Bonner,Inactivo
2588,Matt Bonner,Inactivo
1626164,Devin Booker,Activo
511,Melvin Booker,Inactivo
202344,Trevor Booker,Inactivo
200767,Josh Boone,Inactivo
76204,Ron Boone,Inactivo
1916,Calvin Booth,Inactivo
1522,Keith Booth,Inactivo
76206,Bob Boozer,Inactivo
2430,Carlos Boozer,Inactivo
2414,Curtis Borchardt,Inactivo
76207,Jake Bornheimer,Inactivo
1953,Lazaro Borrell,Inactivo
76209,Costic Borsavage,Inactivo
76210,Vince Boryla,Inactivo
2547,Chris Bosh,Inactivo
76211,Jim Bostic,Inactivo
76212,Lawrence Boston,Inactivo
1630527,Brandon Boston Jr.,Activo
76213,Tom Boswell,Inactivo
1628449,Chris Boucher,Activo
1630547,James Bouknight,Activo
2257,Ruben Boumtje-Boumtje,Inactivo
1631123,Jamaree Bouyea,Activo
76214,Don Boven,Inactivo
1898,Cal Bowdler,Inactivo
1477,Bruce Bowen,Inactivo
1763,Ryan Bowen,Inactivo
1628968,Brian Bowen II,Inactivo
194,Anthony Bowie,Inactivo
76217,Sam Bowie,Inactivo
1085,Ira Bowman,Inactivo
1629065,Ky Bowman,Inactivo
76219,Nate Bowman,Inactivo
671,Donnie Boyce,Inactivo
76221,Dennis Boyd,Inactivo
76222,Fred Boyd,Inactivo
76223,Ken Boyd,Inactivo
1863,Earl Boykins,Inactivo
76224,Harry Boykoff,Inactivo
76225,Winford Boynes,Inactivo
200841,Cedric Bozeman,Inactivo
76226,Steve Bracey,Inactivo
202342,Craig Brackins,Inactivo
76227,Gary Bradds,Inactivo
76228,Alex Bradley,Inactivo
76229,Alonzo Bradley,Inactivo
202340,Avery Bradley,Inactivo
76233,Bill Bradley,Inactivo
76230,Charles Bradley,Inactivo
76231,Dudley Bradley,Inactivo
76232,Joe Bradley,Inactivo
2214,Michael Bradley,Inactivo
762,Shawn Bradley,Inactivo
1628396,Tony Bradley,Inactivo
1361,Mark Bradtke,Inactivo
66,Marques Bragg,Inactivo
1765,Torraye Braggs,Inactivo
1920,A.J. Bramlett,Inactivo
76237,Adrian Branch,Inactivo
1882,Elton Brand,Inactivo
210,Terrell Brandon,Inactivo
1631103,Malaki Branham,Activo
76238,Bob Brannum,Inactivo
76239,Brad Branson,Inactivo
76240,Jesse Branson,Inactivo
1629714,Jarrell Brantley,Inactivo
76241,Jim Brasco,Inactivo
76242,Mike Bratz,Inactivo
76243,Carl Braun,Inactivo
1631128,Christian Braun,Activo
1629649,Ignas Brazdeikis,Inactivo
160,Tim Breaux,Inactivo
2452,J.R. Bremer,Inactivo
76245,Pete Brennan,Inactivo
76246,Tom Brennan,Inactivo
76247,Randy Breuer,Inactivo
201147,Corey Brewer,Inactivo
2249,Jamison Brewer,Inactivo
76248,Jim Brewer,Inactivo
76249,Ron Brewer,Inactivo
200758,Ronnie Brewer,Inactivo
2056,Primoz Brezec,Inactivo
76250,Frank Brian,Inactivo
783,Frank Brickowski,Inactivo
76252,Junior Bridgeman,Inactivo
76253,Bill Bridges,Inactivo
1628969,Mikal Bridges,Activo
1628970,Miles Bridges,Activo
76254,Al Brightman,Inactivo
1628578,Amida Brimah,Inactivo
76255,Audley Brindley,Inactivo
1628515,Isaiah Briscoe,Inactivo
76256,John Brisker,Inactivo
1629052,Oshae Brissett,Activo
76257,Allan Bristow,Inactivo
76258,Tyrone Britt,Inactivo
76259,Wayman Britt,Inactivo
76260,Mike Brittain,Inactivo
76261,David Britton,Inactivo
1631167,Izaiah Brockington,Activo
201972,Jon Brockman,Inactivo
1629151,Ryan Broekhoff,Inactivo
76262,Jim Brogan,Inactivo
1627763,Malcolm Brogdon,Activo
76263,Gary Brokaw,Inactivo
76264,Price Brookfield,Inactivo
201166,Aaron Brooks,Inactivo
1629717,Armoni Brooks,Activo
1628415,Dillon Brooks,Activo
76265,Kevin Brooks,Inactivo
202705,MarShon Brooks,Inactivo
